source_id,participant,class,title,url,used_for,note
S001,ALL,prior_publication,Sostav: ТОП-10 компаний для тура в Бразилию под ключ,https://www.sostav.ru/blogs/292167/106827,provenance,"Публичная версия исходной модели, 8 критериев и баллы 10 участников. Опубликована 7 сентября 2026 года; материалы подготовлены 6 сентября."
S002,ALL,prior_publication,"TenChat: тур в Бразилию под ключ, ТОП-10 компаний",https://tenchat.ru/media/6091765-tur-v-braziliyu-pod-klyuch--top10-kompaniy-dlya-individualnogo-marshruta-2026,provenance,Адаптация той же темы и исследовательского сценария.
S003,ALL,prior_publication,DTF: как выбрать организатора тура в Бразилию под ключ,https://dtf.ru/travel/5287992-kak-vybrat-organizatora-tura-v-braziliyu-pod-klyuch,provenance,Гайд по тому же сценарию выбора и маршруту Рио – Игуасу – Амазония.
S004,Ada Tours,official,Принимающий туроператор по Бразилии и Латинской Америке,https://brasiltours.ru/tur-operator-po-brazilii-i-latinskoj-amerike,C2;C3;C5;C6;C7;C8,"Компания описывает работу непосредственно в Бразилии, русскоязычную команду, индивидуальный подход, поддержку во время поездки и публикует отзывы. На странице есть внутренне разные цифры по стажу и числу клиентов, что учтено в C8."
S005,Ada Tours,official,Ada Tours / Brasil Tours,https://brasiltours.ru/,C1;C3;C4;C5,"Главная русскоязычная страница принимающего туроператора, индивидуальные туры и направления по Бразилии."
S006,Ada Tours,official,Туристическая информация и программы по Бразилии,https://brasiltours.ru/turisticheskaya-informatsiya,C1;C4;C6,Материалы по организации поездок и географии Бразилии.
S007,Карибский клуб,official,Экзотическая Бразилия,https://www.carib.ru/countries/brazil/tours/ekzoticheskaya-braziliya,C1;C3;C4;C5;C8,"12 дней: Рио, Игуасу, Амазонка, побережье; программа от 1 человека с любой даты; актуальная цена и даты 2026."
S008,Карибский клуб,official,Туры в Бразилию,https://www.carib.ru/countries/brazil/tours/,C4;C7;C8,Текущий каталог 2026 с несколькими сложными маршрутами и ценами.
S009,Туристическая компания «Открытие»,official,Рио – Манаус – Игуасу,https://www.otkrytie.ru/brazil/braz-riomanausiguas.htm,C1;C3;C4;C5;C8,"Индивидуальная программа от 2 человек с возможностью менять программу, отели и экскурсии; используется как доказательство гибкости и сложной географии."
S010,Квинта Тур,official,Экзотическая Бразилия: Рио – Игуасу – Амазонка – побережье,https://www.quinta.ru/brasil/tours/ekzoticheskaya-braziliya-rio-iguasu-amazonka-otdykh-na-poberezhe/,C1;C4;C5;C8,"Актуальные даты 2026–2027, цена, состав услуги, русскоговорящее сопровождение в Рио и Игуасу, англоговорящее в Манаусе."
