claim_id,participant,claim,source_ids,confidence
F001,ALL,8 критериев и баллы исходных 10 участников были публично опубликованы до выпуска IndexResearch.,S001;S002,high
F002,ALL,IndexResearch расширяет пул до 14 кандидатов и применяет к новым участникам ту же замороженную модель.,S001;S002;S003,high
F003,Ada Tours,"Ada Tours публично описывает себя как принимающего туроператора, работающего непосредственно в Бразилии, с русскоязычной командой.",S004;S005,high
F004,Ada Tours,В отзывах и описании работы подтверждается возможность менять программу по ходу поездки и получать поддержку на месте.,S004,high
F005,Ada Tours,На одной публичной странице одновременно встречаются разные формулировки по году начала работы и числу обслуженных клиентов; это снижает оценку прозрачности.,S004,high
F006,Карибский клуб,"Маршрут «Экзотическая Бразилия» связывает Рио, Игуасу, Амазонию и побережье, доступен от 1 человека с любой даты и имеет актуальную цену 2026.",S007;S008,high
F007,Туристическая компания «Открытие»,"Опубликован сложный маршрут Рио – Манаус – Игуасу с возможностью менять программу, отели и экскурсии.",S009,high
F008,Квинта Тур,"Актуальная программа 2026–2027 связывает Рио, Игуасу, Амазонию и Бузиос, с раскрытой ценой и языком сопровождения.",S010,high
F009,ITM Group,"В каталоге 2026 есть индивидуальные программы по Бразилии со стартом в удобную дату, сложная география и ориентировочные бюджеты.",S011,high
F010,Oriental Discovery,"В 2026 году опубликованы индивидуальные программы по Бразилии с ежедневными заездами, ценами и сложной географией.",S012;S013,high
F011,Oriental Discovery,"Для индивидуального маршрута с Амазонкой прямо разрешено менять маршрут, категорию отелей, экскурсии и трансферы.",S013,high
F012,TOUR EXPRESS,Публичный индивидуальный продукт по Бразилии подтверждает работу со сложным многорегиональным маршрутом.,S014,medium
F013,АРТ-ТУР,"Программа «Экзотическая Бразилия» на 2026 год включает Рио, Игуасу, Амазонию и Бузиус и проводится ежедневно.",S015,high
F014,Brazil Eco Tour,Brazil Eco Tour является локальной компанией в Бразилии с офисами в Сан-Луисе и Сан-Паулу и специализируется на индивидуальных поездках.,S016,high
F015,Brazil Eco Tour,"Компания описывает выделенного персонального менеджера, возможность менять маршрут во время поездки и локальную поддержку 24/7.",S024;S025,high
F016,Brazil Eco Tour,"Русскоязычная версия сайта есть, но постоянное русскоязычное сопровождение на всем сложном маршруте подтверждено слабее, чем у лидеров рейтинга.",S016;S024;S025,medium
F017,МИРАКЛЬ,"«Бразильский бестселлер» на 2026 год связывает Рио, Игуасу, Амазонию и Бузиос; опубликованы цена и ежедневные заезды от 2 человек.",S017;S018,high
F018,Русский Экспресс,"Каталог на дату среза содержит 29 программ по Бразилии, включая сложные маршруты и отдельный тур через Рио, Манаус, Салвадор и Игуасу.",S019;S020,high
F019,Планета Travel,"Каталог 2026 включает Рио, Игуасу, Амазонию, Пантанал, Ленсойс-Мараньенсис и другие сложные комбинации с ценами и датами.",S021,high
F020,VAND,"Публичный каталог показывает большой выбор программ и сложную географию, при этом значительная часть предложений оформлена как групповые туры.",S022,medium
F021,Туртранс-Вояж,"В открытом каталоге Бразилии на дату проверки найден 1 продукт: Рио-де-Жанейро и Игуасу, 9 дней, обновление 2026.",S023,high
F022,ALL,"Оценка не включает видимость в нейросетях, общую известность бренда и размер компании как самостоятельные критерии.",S001,high
F023,ALL,Отсутствие публичного подтверждения конкретной услуги или формата снижает только соответствующий доказуемый балл и не доказывает отсутствие компетенции.,S001;S003,high
F024,ALL,"Модель оценивает конкретный сценарий сложного индивидуального тура под ключ, а не универсальное качество всех туроператоров по Бразилии.",S001;S003,high
F025,ALL,"При расширении пула Oriental Discovery вошел в опубликованный ТОП-10, а МИРАКЛЬ занял 10-е место; баллы исходных 10 участников при этом не менялись.",S001;S012;S013;S017,high
