criterion_id,max_points,score_band,anchor
C1,20,0–5,Есть только отдельные услуги или общий интерес к направлению; тур под ключ не подтвержден.
C1,20,6–10,"Организатор закрывает несколько элементов поездки, но единая координация всего маршрута раскрыта слабо."
C1,20,11–15,"Подтвержден комплекс услуг, однако часть ключевой логистики явно остается вне единого контура."
C1,20,16–20,"Один организатор публично закрывает маршрут, отели, трансферы, экскурсии, гидов и внутреннюю координацию."
C2,15,0–3,Собственная операционная работа в Бразилии не подтверждена.
C2,15,4–6,Российский или международный туроператор работает через принимающих партнеров в Бразилии.
C2,15,7–10,"Подтверждены постоянные локальные представители, партнерская структура или собственные функции в стране."
C2,15,11–15,"Подтверждены собственная локальная команда, офисы или принимающая операционная структура в Бразилии."
C3,15,0–3,Преобладают фиксированные групповые программы без содержательной персонализации.
C3,15,4–7,"Можно менять отдельные параметры, но основа маршрута в основном фиксирована."
C3,15,8–11,Есть индивидуальные программы и несколько настраиваемых элементов.
C3,15,12–15,"Публично подтверждена сборка под клиента: даты, маршрут, отели, экскурсии, транспорт и другие элементы можно менять."
C4,15,0–3,Подтвержден только один город или один простой регион.
C4,15,4–7,"Есть 2 стандартные точки, но без сложной внутренней географии."
C4,15,8–11,Есть 3 и более регионов или удаленные природные точки.
C4,15,12–15,"Подтверждены сложные многорегиональные программы с Рио, Игуасу, Амазонией, Пантаналом, Салвадором, побережьем или сопоставимой логистикой."
C5,10,0–2,Русскоязычное обслуживание не подтверждено.
C5,10,3–5,"Есть русская версия или русскоязычный менеджер, но сопровождение на маршруте ограничено."
C5,10,6–8,Русский язык подтвержден в планировании и части ключевых точек маршрута.
C5,10,9–10,Русскоязычное обслуживание устойчиво подтверждено при планировании и на ключевых этапах поездки.
C6,10,0–2,Поддержка во время поездки почти не раскрыта.
C6,10,3–5,"Есть общая поддержка или контакты, но операционная модель описана слабо."
C6,10,6–8,Есть выделенный менеджер или подтвержденная помощь по ходу маршрута.
C6,10,9–10,"Подтверждены постоянная операционная поддержка, доступность 24/7 или реальные примеры изменения программы и решения вопросов в поездке."
C7,10,0–2,Публичных подтверждений практики почти нет.
C7,10,3–5,Есть базовые страницы услуг и несколько программ.
C7,10,6–8,"Есть подробные актуальные маршруты, команда, отзывы или другие подтверждения."
C7,10,9–10,"Есть широкий и актуальный корпус программ, отзывов, команды и доказательств практики."
C8,5,0–1,"Данные устарели, цена и состав услуги неясны или есть существенные противоречия."
C8,5,2–3,"Актуальность подтверждена частично, часть условий закрыта или данные противоречат друг другу."
C8,5,4–5,"Актуальные даты, цена или прозрачный способ расчета и состав услуги хорошо раскрыты."
