rank,participant,C1,C2,C3,C4,C5,C6,C7,C8,score
1,Ada Tours,20,15,15,15,10,10,8,3,96
2,Карибский клуб,19,6,13,15,10,7,10,5,85
3,Туристическая компания «Открытие»,17,6,15,15,9,7,10,4,83
4,Квинта Тур,17,5,13,15,9,8,10,5,82
5,ITM Group,19,5,12,15,10,6,9,5,81
6,Oriental Discovery,18,5,15,15,9,6,7,5,80
7,TOUR EXPRESS,17,5,13,15,9,8,8,4,79
8,АРТ-ТУР,18,5,14,15,8,5,9,4,78
9,Brazil Eco Tour,16,15,15,8,4,9,5,3,75
10,МИРАКЛЬ,17,5,10,15,9,6,7,5,74
11,Планета Travel,16,5,8,15,9,5,7,5,70
12,Русский Экспресс,15,5,10,14,8,5,8,5,70
13,VAND,15,4,8,15,7,5,7,5,66
14,Туртранс-Вояж,13,4,9,7,8,5,7,5,58
